Timestamp,course,ccm_website,social_media,community_event,family_friend_referral,current_student,alumni,hs_teacher,hs_counselor,app_advertisement,employer,billboard,tv,radio,mailer,other_ref,To what extent did the following impact your decision to attend County College of Morris? [Affordable cost],convenient_location,school_programs,online_offers,family_friend_impact,faculty_staff,reputation,financial_aid,scholarships,class_size,extra_curriculars,transfer_credits,negative_other_college_experience,nj_stars,credit_transferability,hs_college_credit,instant_decision_day,titans_tuesday,college_fair_regional,challenger_program,hs_info_session,individual_campus_visit,corporate_training,CCM_summer_camp,hs_computing_class,computing_competitions,summer_computing_club,dual_enrollment_computing,family_in_computing_field,employer_impact,work_xp_impact,current_degree,bachelors_prog,HS_transfer_credits,career_progress,career_change,pro_development,job_displacement,relocation,stay_updated,IT_industry_cert,financial_motivation,personal_motivation,info_from_counselor,info_from_teacher,ccm_it_website,info_from_admissions,info_from_advisor,info_from_employer,ccm_workforce_dev,nj_workforce_dev,info_from_misc,first_choice_major,interest_level,interest_in_computing,gender,race,Age 
2022/10/17 8:41:52 AM EST,CMP 128 Computer Science I,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,,,,,,,,,,,,,No,No,No,No,No,No,No,No,,,,,,,Some Impact,Web Development Certificate of Achievement,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,First Choice,,,Woman,Asian,25-34
2022/10/17 8:42:32 AM EST,CMP 128 Computer Science I,No,No,No,Yes,No,No,No,Don't recall,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,,High Impact,No Impact,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Computer Science,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Engineering,,,Man,Asian,19-20
2022/10/17 8:43:28 AM EST,CMP 128 Computer Science I,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,Yes,No,No,No,Yes,No,No,No,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Undecided,,,,,,,,,,,,,,,,,,,,,,4.0,I'm excited to use this knowledge and apply it toward more advanced projects and applications,Man,Hispanic/Latino,21-24
2022/10/17 8:43:43 AM EST,CMP 128 Computer Science I,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No,No,No,No,Yes,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Undecided,,,,,,,,,,,,,,,,,,,,,,4.0,I would like to learn how to create video games at some point.,Man,White,25-34
2022/10/17 8:45:04 AM EST,CMP 128 Computer Science I,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,No Impact,No Impact,,Some Impact,Some Impact,,,,Some Impact,No Impact,,High Impact,,No,Yes,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Computer Science,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,First Choice,,,Man,Asian,19-20
2022/10/17 8:45:27 AM EST,CMP 128 Computer Science I,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Don't recall,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Mechanical Engineering Technology,,,,,,,,,,,,,,,,,,,,,,2.0,"It is a bit irrelevant for what I am studying, and I am not very good at it.",Man,Hispanic/Latino,19-20
2022/10/17 8:45:33 AM EST,CMP 128 Computer Science I,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Don't recall,Don't recall,No,No,High Impact,High Impact,High Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,Yes,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Undecided,,,,,,,,,,,,,,,,,,,,,,5.0,I would be interested in taking more computing classes since I could learn more specific skills in the field.,Man,White,19-20
2022/10/17 8:45:43 AM EST,CMP 128 Computer Science I,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Some Impact,High Impact,Some Impact,High Impact,,,,,Some Impact,High Impact,High Impact,,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Computer Science,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,First Choice,,,Prefer not to say,No reply,21-24
2022/10/17 10:42:56 AM EST,CMP 128 Computer Science I,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,High Impact,High Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Computer Science,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Photography,,,Man,White,65+
2022/10/17 11:04:37 AM EST,CMP 128 Computer Science I,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,High Impact,High Impact,High Impact,High Impact,Some Impact,Some Impact,High Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Undecided,,,,,,,,,,,,,,,,,,,,,,4.0,I enjoy working on computers and it is a great skill for every job,Man,White,19-20
2022/10/17 1:07:00 PM EST,CMP 131 Fundamentals of Programming (Python),Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No,No,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,High Impact,No Impact,No Impact,Computer Science,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,No,First Choice,,,Man,Multi-Racial,25-34
